R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,
115795448,125752214,107962716,106467491,106983154,107886895,110362982,120508556,107845791,108503962,107626535,107448182,108325366,107559190,106767725,106694403,107912412,107637508,108040587,111994311,
128945937,121163492,116980252,109370044,107239874,125702431,131717874,136832400,115348617,107157031,108519452,117157373,127157544,147856403,128260590,108463284,109776722,123545356,124132796,123910438,
132351155,124689635,130130316,126045683,141792539,129683611,130266485,134522853,128929964,127603535,132721720,128168100,133101746,115924521,115670898,123012983,123902769,128031916,139829632,112515315,
133688343,137040195,137847726,129475621,120006985,123034096,122771627,116288319,115410283,115428287,119160770,117332750,117713383,121786477,121735708,124078967,120422200,119232022,118900870,124793041,
122330653,120703153,119484467,120948755,120198688,118346436,121749807,124166903,121160276,123182169,120387665,120391136,119347503,117017685,117100225,116516803,120742950,115957033,116434288,116700003,
118924251,128877214,121774744,117481462,124908363,119964064,120875684,119109501,117895152,119146928,131927233,132368380,121356391,126073605,128193353,120463859,125228302,117668177,118855408,122062636,
132676132,126788325,132356660,125118976,123016947,123427487,127677105,125000836,126974605,134474483,126140001,122391249,155420003,125537671,122984655,122189626,130348123,130189078,128072157,124366776,
126712979,129903054,127816145,124187611,124382670,130199380,131278351,137471763,127622905,124264316,129476604,137903494,126749452,128197893,124948121,124485057,123743071,126545348,125529507,123757727,
129378093,130420729,126905857,128056874,125591954,135080721,128229265,126581211,125478306,128289438,126646752,128599012,124929686,128445991,126863827,126323195,126227359,127152760,127539711,126595591,
130395639,130048075,128541020,129269250,129464423,129767324,130152570,127451298,128251787,129326132,135445006,128669975,128831475,130127607,131304949,129198985,128483643,130911741,132189872,139133798,
137242339,138009965,140677583,144130004,134273646,131513639,133799504,136076544,132806025,132258646,138458122,142833217,139686466,144054220,134260338,137442925,132710165,135465197,136508103,135238363,
153020584,138607925,137484886,137931732,144916646,138046221,140730089,140638599,149334981,144692626,140258498,138639380,139237081,140432355,138067348,146571410,141512480,168058627,138279304,139758685,
152810904,144660904,143146348,143317067,147359618,139712115,144437068,147521199,160085653,176322192,162200976,150578886,145913991,142512785,143993491,146109670,145748760,141883875,159624881,165552276,
